Unnamed: 0,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
694,5594210,❂Train station☼City center☼Private Bathroom5Aircon,1927968,Evan,Sathon,13.72062,100.54707,Entire home/apt,1200,1,276,2020-10-31,2.92,37,338,0
700,5607585,38 sqm near BTS Prakhanong in City in Sukhuvit 48,12352306,Aoy,Khlong Toei,13.71161,100.59466,Entire home/apt,820,7,13,2022-12-13,0.14,1,112,3
705,6239775,"Quiet,Cosy 1BR Luxury Condo",25524442,Jane,Vadhana,13.73731,100.57137,Entire home/apt,1400,3,120,2022-05-11,1.29,1,75,5
712,5620403,"Peaceful elegant place, centre BKK",5214208,Chitra,Khlong Toei,13.71793,100.57675,Private room,1004,2,40,2020-02-27,0.46,1,361,0
714,5641625,Cozy 1Bedroom in a heart of Bangkok,13226580,Kritwalee,Ratchathewi,13.75341,100.54326,Entire home/apt,1385,30,57,2018-01-27,0.6,1,363,0
715,5185732,Condo at the Nest on Ploenchit,21471808,Steven,Khlong Toei,13.7417,100.5515,Entire home/apt,1400,30,65,2022-12-19,0.68,1,80,4
717,5186235,Luxurious Room Bangkok City,24481430,Ski,Vadhana,13.72717,100.58109,Entire home/apt,3990,7,3,2020-02-11,0.03,1,177,0
718,6291384,1 bedroom condo heart of Bangkok,28657404,Beach Villa,Vadhana,13.7431,100.56594,Entire home/apt,2500,3,2,2017-11-22,0.03,1,0,0
731,5672952,Spacious Room in Thong Lo,29413730,Nga,Vadhana,13.72894,100.57943,Private room,2000,1,0,,0.0,1,365,0
733,5226175,Cozy 1 Bed room @The Empire Place Sathorn Condo,27043245,Lala,Sathon,13.719002753682592,100.5307520172107,Entire home/apt,1943,2,3,2022-11-21,1.55,1,296,3
735,5675191,Private Studio Room Hi-Speed NET @BTS Phra Khanong,7919219,Kusalin,Vadhana,13.71421,100.59281,Entire home/apt,1200,20,27,2022-09-24,0.37,6,283,4
736,5675192,Private Studio Room ShortStay@BTS Phra Khanong,7919219,Kusalin,Khlong Toei,13.71419,100.59163,Entire home/apt,1311,2,14,2022-12-23,0.16,6,290,1
738,5232623,TKF Condo,27080942,Narisa,Vadhana,13.73936,100.58101,Private room,1500,1,0,,0.0,1,179,0
742,5233978,private condo next to bts!,27087684,Nichanan,Khlong Toei,13.73528,100.55957,Entire home/apt,3347,1,0,,0.0,2,365,0
745,6366794,2 BD Apartment in central Bangkok,20391032,May,Ratchathewi,13.7556,100.53343,Entire home/apt,2007,20,22,2019-02-23,0.24,1,358,0
746,5686783,Convenient 1BR condo in the heart of Thonglor,24884150,Pakchata,Vadhana,13.73127,100.5824,Entire home/apt,1300,5,41,2022-11-01,0.55,1,134,6
756,6390730,1 BR en-suite next to BTS Phrakanong,32898841,Napat,Khlong Toei,13.71399,100.59246,Entire home/apt,1700,7,6,2021-04-07,0.07,1,0,0
762,5274007,"5 MINS TO BTS, PRIME LOCATION, WIFI",27301982,Si-On,Vadhana,13.73086,100.58744,Private room,1499,1,8,2016-02-15,0.09,1,365,0
765,5289887,Comfortable Condo( Rama 9 MRT) 2 bedroom (2),27392740,Joyce,Huai Khwang,13.75988,100.56852,Entire home/apt,3740,2,30,2020-01-27,0.33,5,0,0
771,6400420,Location Location Location,32918761,Nana,Vadhana,13.74232,100.56269,Private room,2000,7,0,,0.0,1,363,0
776,5309746,10 minutes to BTS Asoke station,27505783,Nitsumon D.,Vadhana,13.74008,100.55799,Private room,1500,30,1,2015-08-10,0.01,1,134,0
801,5387208,Luxury  Apartment type 01,11772331,Nantiruj,Khlong Toei,13.73695,100.5547,Entire home/apt,1690,30,2,2017-04-30,0.03,5,330,0
807,5417292,Cozy&new furnished 1 BR@MRT Ladprao,16415257,Chonlakorn,Huai Khwang,13.80002,100.57658,Entire home/apt,1316,2,3,2018-01-20,0.03,1,363,0
813,6752440,"2BR BTS,MRT  270°views 70m² @ASOK",23361470,Faizal,Vadhana,13.74636,100.56241,Entire home/apt,1662,20,166,2022-01-25,1.93,2,0,1
